department,department_id,code,title,grade,type,credit,prerequisite,description,curriculum_year,ministry_source_url
The Arts,ONTARIO-ARTS,AMU4M,Music,12,University/College Preparation,1.0,None,"This course enables students to enhance their musical literacy through the creation, appreciation, analysis, and performance of music. Students will perform traditional, commercial, and art music, and will respond with insight to live and recorded performances. Students will enhance their understanding of the function of music in society and the impact of music on themselves and various communities and cultures. Students will analyse how to apply skills developed in music to their life and careers.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/amu4m
The Arts,ONTARIO-ARTS,ASM2O,Media Arts,10,Open,1.0,None,"This course enables students to create media art works by exploring new media, emerging technologies such as digital animation, and a variety of traditional art forms such as film, photography, video, and visual arts. Students will acquire communications skills that are transferable beyond the media arts classroom and develop an understanding of responsible practices related to the creative process. Students will develop the skills necessary to create and interpret media art works.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/asm2o
The Arts,ONTARIO-ARTS,ASM3M,Media Arts,11,University/College Preparation,1.0,None,"This course focuses on the development of media arts skills through the production of art works involving traditional and emerging technologies, tools, and techniques such as new media, computer animation, and web environments. Students will explore the evolution of media arts as an extension of traditional art forms, use the creative process to produce effective media art works, and critically analyse the unique characteristics of this art form. Students will examine the role of media artists in shaping audience perceptions of identity, culture, and values.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/asm3m
The Arts,ONTARIO-ARTS,ASM3O,Media Arts,11,Open,1.0,None,"This course enables students to create media art works using available and emerging technologies such as computer animation, digital imaging, and video, and a variety of media. Students will explore the elements and principles of media arts, the connections between contemporary media art works and traditional art forms, and the importance of using responsible practices when engaged in the creative process. Students will develop the skills necessary to create and interpret media art works.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/asm3o
The Arts,ONTARIO-ARTS,ASM4E,Media Arts,12,Workplace Preparation,1.0,None,"This course focuses on a practical approach to a variety of media arts challenges related to the interests of the student and provides students with opportunities to examine media arts in relation to the world of work. Students will develop works that express their views on contemporary issues and will create portfolios suitable for use in post-secondary work experiences. Students will critically analyse the role of media artists in shaping audience perceptions of identity, culture, and community values, particularly within the context of the workplace.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/asm4e
The Arts,ONTARIO-ARTS,ASM4M,Media Arts,12,University/College Preparation,1.0,None,"This course emphasizes the refinement of media arts skills through the creation of a thematic body of work by applying traditional and emerging technologies, tools, and techniques such as multimedia, computer animation, installation art, and performance art. Students will develop works that express their views on contemporary issues and will create portfolios suitable for use in either career or postsecondary education applications. Students will critically analyse the role of media artists in shaping audience perceptions of identity, culture, and community values.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/asm4m
The Arts,ONTARIO-ARTS,ATC1O,Dance,9,Open,1.0,None,"This course gives students the opportunity to explore their technical and compositional skills by applying the elements of dance and the tools of composition in a variety of performance situations. Students will generate movement through structured and unstructured improvisation, demonstrate an understanding of safe practices with regard to themselves and others in the dance environment, and identify the function and significance of dance within the global community.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/atc1o
The Arts,ONTARIO-ARTS,ATC2O,Dance,10,Open,1.0,None,"This course emphasizes the development of students’ technique and creative skills relating to the elements of dance and the tools of composition in a variety of performance situations. Students will identify responsible personal and interpersonal practices related to dance processes and production, and will apply technologies and techniques throughout the process of creation to develop artistic scope in the dance arts.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/atc2o
The Arts,ONTARIO-ARTS,ATC3M,Dance,11,University/College Preparation,1.0,None,"This course emphasizes the development of students’ artistry, improvisational and compositional skills, and technical proficiency in dance genres from around the world. Students will apply dance elements, techniques, and tools in a variety of ways, including performance situations; describe and model responsible practices related to the dance environment; and reflect on how the study of dance affects personal and artistic development.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/atc3m
The Arts,ONTARIO-ARTS,ATC3O,Dance,11,Open,1.0,None,"This course emphasizes the development of students’ movement vocabulary relating to dance genres from around the world, and of their understanding of the elements of dance and the tools of composition in a variety of performance situations. Students will research and explain how physical, intellectual, and artistic skills developed in dance can be applied in a wide range of careers. They will apply tools and techniques through-out the process of creation and presentation, and reflect on how studies in the dance arts affect personal identity.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/atc3o
The Arts,ONTARIO-ARTS,ATC4E,Dance,12,Workplace Preparation,1.0,None,"This course enables students to develop performance and interpersonal skills through the study of dance. Students will apply the elements of dance and the tools of composition to develop a physical vocabulary that can be used to create and communicate through dance. Students will research and explain how physical, intellectual, and artistic skills developed in the dance arts are transferable to a wide range of careers and workplace environments. They will develop an understanding of practices associated with healthy living, the benefits of self-discipline, and the importance of continuing engagement in the arts.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/atc4e
The Arts,ONTARIO-ARTS,ATC4M,Dance,12,University/College Preparation,1.0,None,"This course emphasizes the development of students’ technical proficiency, fluency in the language of movement in dance genres from around the world, and understanding of dance science. Students will explain the social, cultural, and historical contexts of dance; apply the creative process through the art of dance in a variety of ways; and exhibit an understanding of the purpose and possibilities of continuing engagement in the arts as a lifelong learner.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/atc4m
The Arts,ONTARIO-ARTS,AVI1O,Visual Arts,9,Open,1.0,None,"This course is exploratory in nature, offering an overview of visual arts as a foundation for further study. Students will become familiar with the elements and principles of design and the expressive qualities of various materials by using a range of media, processes, techniques, and styles. Students will use the creative and critical analysis processes and will interpret art within a personal, contemporary, and historical context.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/avi1o
The Arts,ONTARIO-ARTS,AVI2O,Visual Arts,10,Open,1.0,None,"This course enables students to develop their skills in producing and presenting art by introducing them to new ideas, materials, and processes for artistic exploration and experimentation. Students will apply the elements and principles of design when exploring the creative process. Students will use the critical analysis process to reflect on and interpret art within a personal, contemporary, and historical context.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/avi2o
The Arts,ONTARIO-ARTS,AVI3M,Visual Arts,11,University/College Preparation,1.0,None,"This course enables students to further develop their knowledge and skills in visual arts. Students will use the creative process to explore a wide range of themes through studio work that may include drawing, painting, sculpting, and printmaking, as well as the creation of collage, multimedia works, and works using emerging technologies. Students will use the critical analysis process when evaluating their own work and the work of others. The course may be delivered as a comprehensive program or through a program focused on a particular art form (e.g., photography, video, computer graphics, information design).",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/avi3m
The Arts,ONTARIO-ARTS,AVI3O,Visual Arts,11,Open,1.0,None,This course focuses on studio activities in one or,2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/avi3o
The Arts,ONTARIO-ARTS,AVI4E,Visual Arts,12,Workplace Preparation,1.0,None,"This course focuses on a practical approach to a variety of art and design projects related to the workplace. Students will use the creative process to produce a traditional and/or digital portfolio of their work in a variety of media. Students may focus on various aspects of visual arts, including advertising, ceramics, fashion design, graphic arts, jewellery design, and/or web design.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/avi4e
The Arts,ONTARIO-ARTS,AVI4M,Visual Arts,12,University/College Preparation,1.0,None,"This course focuses on enabling students to refine their use of the creative process when creating and presenting two- and three-dimensional art works using a variety of traditional and emerging media and technologies. Students will use the critical analysis process to deconstruct art works and explore connections between art and society. The studio program enables students to explore a range of materials, processes, and techniques that can be applied in their own art production. Students will also make connections between various works of art in personal, contemporary, historical, and cultural contexts.",2010,https://www.dcp.edu.gov.on.ca/en/curriculum/secondary-arts/courses/avi4m
